gene,gains,losses,count,dist,loss_dist,gain_subsize,loss_subsize,gain_subsize_nofilter,loss_subsize_nofilter,gain_subsize_thresh,loss_subsize_thresh,root_state,gains_flow,losses_flow,gains_markov,losses_markov,gains_entropy,losses_entropy,gain_subsize_marginal,loss_subsize_marginal,gain_subsize_marginal_nofilter,loss_subsize_marginal_nofilter,gain_subsize_marginal_thresh,loss_subsize_marginal_thresh,gain_subsize_entropy,loss_subsize_entropy,gain_subsize_entropy_nofilter,loss_subsize_entropy_nofilter,gain_subsize_entropy_thresh,loss_subsize_entropy_thresh,dist_marginal,loss_dist_marginal,root_prob
ykgG,0,16,468,0.03047,0.11102,0.11767000000000001,5.407329999999995,0.18192999999999998,5.837809999999996,0.11767000000000002,4.829150000000003,1,14.027435493894508,17.45284265854181,0.27447175946226937,0.30984362218113065,10.216270037677596,12.814534143634543,0.2878510363712934,5.678105737396244,0.2904701088273961,5.729269891172603,0.2663778407040265,4.708597690652988,0.20715685787387844,4.097426181082403,0.20904040267993623,4.134221641199309,0.1917140906933455,3.4001900883506577,0.03047,0.11102,0.9513031731346375
fliL,1,12,468,0.03047,0.12662,0.14841000000000001,5.376589999999996,0.2066,5.813139999999996,0.14841000000000004,4.483670000000003,1,10.628488735363202,11.887713240415042,0.25898285044535513,0.2874454409831554,6.512513136418214,6.800014214590925,0.28846868416960064,5.677488089597935,0.2911849171459913,5.7285550828540055,0.26619894987206644,4.410596766612579,0.19915443806106523,4.226160819009241,0.20108695278765434,4.262493385992069,0.1833102066982665,3.3231538234542173,0.03047,0.12662,0.9494967604734432
rclC,0,21,468,0.03047,0.11102,0.21577999999999997,5.309219999999996,0.28004,5.739699999999997,0.21577999999999997,4.731040000000003,1,18.996009854718974,22.375671783299424,0.4009805989842133,0.4506603111477673,11.695847561891217,12.17480919370922,0.43524980480315095,5.530706968964387,0.4392472582803926,5.580492741719608,0.4024755680738122,4.58731782368192,0.26850285399885965,3.460929977341228,0.2709738347359556,3.491704490705789,0.24824382957436483,2.8777846276768906,0.03047,0.11102,0.9256747176161615
group_4681,1,18,468,0.03047,0.13413000000000003,0.09843,5.4265699999999955,0.09843,5.921309999999998,0.09842999999999999,4.0049700000000055,1,18.074662777644892,17.717522548480378,0.34699201602320306,0.2645801757339161,10.57973677414104,8.053756459002214,0.36891322697901546,5.597043546788519,0.3722201809665742,5.64751981903342,0.34180024281088656,3.8483362962777883,0.24149455725603805,3.770434364039262,0.24369924205420027,3.804085957168438,0.22341883432394685,2.6013773724238503,0.03047,0.13413000000000003,0.9385132834303115
group_17417,0,16,467,0.03047,0.12662,0.13837000000000002,5.386629999999995,0.19655999999999996,5.823179999999998,0.13837,4.493710000000004,1,15.026082377339737,18.45070832010156,0.2852515112528123,0.33143214375551056,10.909180754951922,13.607617676733394,0.3004526406977229,5.665504133069823,0.30318060753581305,5.716559392464193,0.27808664408253575,4.39928361311661,0.21372700077494064,4.03729930804184,0.21566534659030584,4.07357641633277,0.19783493224236592,3.137591433330598,0.03047,0.12662,0.9492784827317832
prpR,0,14,467,0.03047,0.14609,0.08485000000000001,5.440149999999994,0.14304,5.876699999999997,0.08485000000000001,3.419670000000003,1,13.457383303171735,14.749844194247219,0.25672115125407696,0.2645555991380961,9.658358414253058,10.650649783617174,0.2682985849570391,5.697658188810494,0.2707339389242208,5.749006061075774,0.2483316565375929,3.347150494203122,0.19728575053076464,4.19883839400131,0.19907329579311314,4.236527636319418,0.18263006237175072,2.470748264431047,0.03047,0.14609,0.9547190799477946
yahD,1,14,467,0.03047,0.11102,0.10253000000000002,5.422469999999995,0.22497999999999996,5.794759999999998,0.10253,4.844290000000003,1,13.400816980002784,15.591659433517508,0.25810420316433685,0.3391734625349647,10.305842074143957,12.139297638796593,0.2726816277491181,5.693275146018416,0.2751739647183746,5.744566035281621,0.2522475083016391,4.721365592258307,0.19954671864039067,4.175243720104864,0.20136452196408539,4.212653087348541,0.18464295133019276,3.4663747192639125,0.03047,0.11102,0.9536595860113686
ysaE,1,8,467,0.03047,0.14392000000000002,0.31772999999999996,5.207269999999997,0.38433999999999996,5.635400000000003,0.31772999999999996,3.4566900000000045,1,17.21135426976144,4.171669017368437,0.3282908260790957,0.15841868851781787,5.1131146171139745,2.0101684722065523,0.6751621003023802,5.290794673465156,0.6792958938303566,5.340444106169641,0.6554890910128353,3.392703657404627,0.33182901814974913,4.4772822998144,0.3340199607446427,4.5091451164774,0.31962853164301486,2.8624618547102436,0.03047,0.13664,0.9662817934050356
yahI,0,18,467,0.03047,0.11102,0.11474000000000002,5.410259999999996,0.23718999999999993,5.782549999999999,0.11474000000000002,4.832080000000002,1,16.119768789452053,19.378863349464503,0.27940059759211106,0.3722204299644823,11.711246744427458,14.07326266020441,0.29629354073214315,5.669663233035391,0.29897502906657775,5.720764970933418,0.2743086110862914,4.701337902936912,0.21169735323243946,4.05543026989988,0.21361249735940604,4.091927610558205,0.1959955102102867,3.363843234030089,0.03047,0.11102,0.9501426648739001
fliM,1,13,467,0.03047,0.12662,0.14539000000000002,5.379609999999995,0.20357999999999998,5.816159999999997,0.14539000000000002,4.486690000000002,1,11.60241661069494,12.839814582423736,0.27875500135456105,0.29517532837943755,7.002865585066421,7.008171861543322,0.30941519452882704,5.656541579238708,0.31229379481017205,5.707446205189823,0.285814224322768,4.393740905658761,0.2092290457172046,4.12049251992991,0.21124068372698837,4.156065948135008,0.19273608819692245,3.2366889305965096,0.03047,0.12662,0.9464777106368283
